org.eclipse.emf.codegen.util.CodeGenUtil	public static Set<java.lang.String> getJavaDefaultTypes() 	result	B2	0/88
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B40	0/5
org.eclipse.emf.codegen.ecore.genmodel.generator.GenBaseGeneratorAdapter.EclipseHelper	public static boolean ensureProjectExists(java.lang.String, java.lang.Object, java.lang.Object, boolean, org.eclipse.emf.common.util.Monitor) 	projectLocation	B42	0/3
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	public java.lang.Object writeTopObjects(List<? extends org.eclipse.emf.ecore.EObject>) 	helper	B2	0/43
org.eclipse.emf.ecore.change.impl.ChangeDescriptionImpl	public void applyAndReverse() 	objectsAfterApply	B2	0/42
org.eclipse.emf.edit.provider.ItemProviderAdapter	public Collection<?> getNewChildDescriptors(java.lang.Object, org.eclipse.emf.edit.domain.EditingDomain, java.lang.Object) 	i	B4	0/35
org.eclipse.emf.edit.provider.ItemProviderAdapter	public Collection<?> getNewChildDescriptors(java.lang.Object, org.eclipse.emf.edit.domain.EditingDomain, java.lang.Object) 	i	B5	0/31
org.eclipse.emf.ecore.xmi.impl.DefaultDOMHandlerImpl	private static final void debug(org.w3c.dom.Node, org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature, java.lang.Object) 	buf	B2	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	eClass	B1	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	eClass	B5	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	eClass	B6	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	eClass	B14	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	eClass	B15	0/30
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	localFeatureIndex	B1	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	localFeatureIndex	B5	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	localFeatureIndex	B6	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	localFeatureIndex	B14	0/31
org.eclipse.emf.codegen.ecore.genmodel.impl.GenClassImpl	public void initialize(org.eclipse.emf.ecore.EClass) 	localFeatureIndex	B15	0/30
org.eclipse.emf.ecore.xmi.impl.DefaultDOMHandlerImpl	private static final void debug(org.w3c.dom.Node, org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature, java.lang.Object) 	container	B2	0/31
org.eclipse.emf.ecore.xmi.impl.DefaultDOMHandlerImpl	private static final void debug(org.w3c.dom.Node, org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature, java.lang.Object) 	container	B8	0/12
org.eclipse.emf.ecore.xmi.impl.DefaultDOMHandlerImpl	private static final void debug(org.w3c.dom.Node, org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature, java.lang.Object) 	container	B9	0/8
org.eclipse.emf.codegen.ecore.genmodel.impl.GenModelImpl	public org.eclipse.emf.common.util.Diagnostic diagnose() 	ePackage	B12	0/29
org.eclipse.emf.codegen.ecore.genmodel.impl.GenModelImpl	public org.eclipse.emf.common.util.Diagnostic diagnose() 	ePackage	B13	0/28
org.eclipse.emf.codegen.ecore.genmodel.impl.GenModelImpl	public org.eclipse.emf.common.util.Diagnostic diagnose() 	ePackage	B21	0/19
org.eclipse.emf.codegen.ecore.genmodel.impl.GenBaseImpl.GIFEmitter	protected byte[] generateGIF(java.lang.String, java.lang.String) 	writer	B2	0/28
org.eclipse.emf.codegen.util.GIFEmitter	public byte[] generateGIF(java.lang.String, java.lang.String) 	writer	B2	0/28
org.eclipse.emf.edit.ui.provider.ImageDataSynthesizer	public java.io.InputStream generateGIF(java.lang.String, java.lang.String) 	writer	B2	0/28
org.eclipse.emf.converter.ModelConverter	public void makeEPackageConvertDataUnique() 	dataToCounter	B2	0/28
org.eclipse.emf.converter.ModelConverter	public void makeEPackageConvertDataUnique() 	dataToCounter	B3	0/25
org.eclipse.emf.converter.ModelConverter	public void makeEPackageConvertDataUnique() 	dataToCounter	B4	0/24
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B2	0/26
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B4	0/26
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B6	0/26
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B8	0/26
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B10	0/26
org.eclipse.emf.ecore.xmi.impl.EMOFSaveImpl	protected void saveDataTypeElementSingle(org.eclipse.emf.ecore.EObject, org.eclipse.emf.ecore.EStructuralFeature) 	doc	B12	0/26
