org.argouml.core.propertypanels.ui.UMLMultiplicityPanel.MultiplicityComboBoxModel	public void setSelectedItem(java.lang.Object) 	anItem	B1	0/2
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseClicked(java.awt.event.MouseEvent) 	LOG	B3	0/2
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mousePressed(java.awt.event.MouseEvent) 	LOG	B3	0/2
org.argouml.core.propertypanels.ui.UMLPlainTextDocument	private final void updateText(java.lang.String) 	textValue	B1	0/2
org.argouml.core.propertypanels.ui.UMLValueSpecificationValueFieldOpaqueExpression	public void buildPanel() 	curLanguage	B1	0/2
org.argouml.core.propertypanels.ui.UMLStructuralFeatureTypeComboBoxModel	protected void buildModelList() 	elements	B1	1/12
org.argouml.core.propertypanels.ui.UMLStructuralFeatureTypeComboBoxModel	protected void buildModelList() 	elements	B3	0/10
org.argouml.core.propertypanels.ui.LabelledLayout	public java.awt.Dimension preferredLayoutSize(java.awt.Container) 	preferredHeight	B1	1/9
org.argouml.core.propertypanels.ui.LabelledLayout	public java.awt.Dimension preferredLayoutSize(java.awt.Container) 	preferredHeight	B2	0/6
org.argouml.core.propertypanels.ui.UMLValueSpecificationPanel	private JComboBox#RAW uiSelect() 	iSel	B1	2/12
org.argouml.core.propertypanels.ui.UMLValueSpecificationPanel	private JComboBox#RAW uiSelect() 	iSel	B2	0/8
org.argouml.core.propertypanels.ui.UMLValueSpecificationPanel	private JComboBox#RAW uiSelect() 	iSel	B3	0/6
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setBody(java.lang.String) 	mustChange	B1	1/6
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setBody(java.lang.String) 	mustChange	B2	0/3
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setLanguage(java.lang.String) 	mustChange	B1	1/6
org.argouml.core.propertypanels.ui.UMLExpressionModel	public void setLanguage(java.lang.String) 	mustChange	B2	0/3
org.argouml.core.propertypanels.ui.UMLTemplateParameterDefaultElementComboBoxModel	protected void buildModelList() 	elements	B1	1/5
org.argouml.core.propertypanels.ui.UMLTemplateParameterDefaultElementComboBoxModel	protected void buildModelList() 	elements	B3	0/3
org.argouml.core.propertypanels.ui.UMLTemplateParameterParameterComboBoxModel	protected void buildModelList() 	elements	B1	1/5
org.argouml.core.propertypanels.ui.UMLTemplateParameterParameterComboBoxModel	protected void buildModelList() 	elements	B3	0/3
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	LOG	B4	1/4
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	LOG	B5	0/2
org.argouml.core.propertypanels.ui.UmlControl	protected javax.swing.JPanel createSingleButtonPanel(List<javax.swing.Action>) 	toolbar	B1	1/8
org.argouml.core.propertypanels.ui.UMLMutableLinkedList	public void mouseReleased(java.awt.event.MouseEvent) 	popup	B2	1/4
