org.argouml.model.euml.ModelEventPumpEUMLImpl	void fireEvent(java.lang.Object, java.lang.Object, java.lang.Object, int, java.lang.String, org.eclipse.emf.ecore.EReference) 	propName	B10	1/2
org.argouml.model.euml.RootContainerAdapter	public void setHoldEvents(boolean) 	events	B1	1/2
org.argouml.model.euml.StateMachinesHelperEUMLImpl	public void setContainer(java.lang.Object, java.lang.Object) 	LOG	B8	1/2
org.argouml.model.euml.UseCasesFactoryEUMLImpl	public org.eclipse.uml2.uml.ExtensionPoint buildExtensionPoint(java.lang.Object) 	modelImpl	B1	1/2
org.argouml.model.euml.UseCasesFactoryEUMLImpl	public org.eclipse.uml2.uml.ExtensionPoint buildExtensionPoint(java.lang.Object) 	modelImpl	B3	1/2
org.argouml.model.euml.ModelEventPumpEUMLImpl	private void unregisterListener(java.lang.Object, java.util.EventListener, java.lang.String[], Map<java.lang.Object,List<org.argouml.model.euml.ModelEventPumpEUMLImpl.Listener>>) 	l	B7	2/4
org.argouml.model.euml.ModelEventPumpEUMLImpl	private void unregisterListener(java.lang.Object, java.util.EventListener, java.lang.String[], Map<java.lang.Object,List<org.argouml.model.euml.ModelEventPumpEUMLImpl.Listener>>) 	l	B8	1/2
org.argouml.model.euml.MetaTypesEUMLImpl	public java.lang.String getName(java.lang.Object) 	startName	B1	5/9
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B1	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B3	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B5	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B7	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B9	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B11	6/10
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B13	3/7
org.argouml.model.euml.CoreFactoryEUMLImpl	private org.eclipse.uml2.uml.Property buildAssociationEnd(java.lang.Object, java.lang.String, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Boolean, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object, java.lang.Object) 	modelImpl	B15	3/7
