org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B7	0/10
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B10	0/6
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B11	0/4
org.argouml.ui.explorer.rules.GoSummaryToInheritance	public Collection#RAW getChildren(java.lang.Object) 	specializationsIt	B13	0/2
org.argouml.uml.ui.TabTaggedValuesModel	public void setValueAt(java.lang.Object, int, int) 	value	B17	0/15
org.argouml.persistence.PgmlUtility	private static void getEdges(org.tigris.gef.base.Diagram, Collection#RAW, List#RAW) 	returnEdges	B2	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	southPane	B4	0/13
org.argouml.uml.diagram.activity.ui.FigObjectFlowState	protected void updateListeners(java.lang.Object, java.lang.Object) 	l	B1	0/14
org.argouml.uml.diagram.activity.ui.FigObjectFlowState	protected void updateListeners(java.lang.Object, java.lang.Object) 	l	B2	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	eastPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	eastPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	eastPane	B6	0/11
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	explorerPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	explorerPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	explorerPane	B7	0/10
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	explorerPane	B8	0/9
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northWestPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northWestPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northWestPane	B7	0/10
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northWestPane	B9	0/8
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northWestPane	B10	0/7
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B3	0/14
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B5	0/12
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B7	0/10
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B9	0/8
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B11	0/6
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	todoPane	B12	0/5
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	public List#RAW getOutEdges(java.lang.Object) 	it	B6	0/14
org.argouml.uml.diagram.static_structure.ClassDiagramGraphModel	public List#RAW getOutEdges(java.lang.Object) 	it	B7	0/13
org.argouml.ui.ProjectBrowser	private void restorePanelSizes() 	northEastPane	B3	0/14
